NASA TV #1,udp://@239.15.15.1:30120
NASA TV #2,udp://@239.15.15.2:30120
NASA TV #3,udp://@239.15.15.3:30120
Johnson TV,udp://@239.15.15.4:30120
Quad Split ISS Downlink,udp://@239.15.15.5:30120
ISS Downlink 1,udp://@239.15.15.6:30120
ISS Downlink 2,udp://@239.15.15.7:30120
ISS Downlink 3,udp://@239.15.15.8:30120
ISS Downlink 4,udp://@239.15.15.9:30120
FCR- Front Left,udp://@239.15.15.10:30120
FCR- Left Side,udp://@239.15.15.11:30120
FCR-Back Left,udp://@239.15.15.12:30120
WFCR-Front Side,udp://@239.15.15.13:30120
WFCR-Right Side,udp://@239.15.15.14:30120
Weather Info,udp://@239.15.15.16:30120
Weather Radar,udp://@239.15.15.17:30120
CNN,udp://@239.15.15.35:30120
NASA TV Guide,udp://@239.15.15.36:30120
KUBE,udp://@239.15.15.38:30120
KRIV 26 FOX,udp://@239.15.15.39:30120
KHOU 11 CBS,udp://@239.15.15.40:30120
KRPC 2 NBC,udp://@239.15.15.41:30120
KTRK 13 ABC,udp://@239.15.15.42:30120
Scola Germany,udp://@239.15.15.43:30120
Satellite Map,udp://@239.15.15.45:30120
NASA Channel,udp://@239.15.15.46:30120
NASA Educational,udp://@239.15.15.47:30120
